Genus,Family,Order,HybProp,Hyb_Ratio,perc_per,perc_wood,perc_ag,floral_symm,mating_system,repro_syndrome,pollination_syndrome,RedList,Tm,C_value,CV_C_value
Brachiaria,Poaceae,Poales,0.0,0.0,0.0,0.0,0.074314214,0.967741935,0.958333333,0.724806202,0.0,1.73,0.360925926,5.530870827,74.38153976
Brachyactis,Asteraceae,Asterales,0.0,0.0,0.700456079,0.0,0.00210989,0.017857143,0.826621924,0.68329718,0.972615385,2.09,0.6471375,4.064583333,74.38814924
Brachyelytrum,Poaceae,Poales,0.0,0.0,1.0,0.0,0.074314214,0.967741935,0.958333333,0.724806202,0.093533487,1.73,0.360925926,5.530870827,74.38153976
Brachyglottis,Asteraceae,Asterales,100.0,0.5,1.0,1.0,0.00210989,0.017857143,0.826621924,0.68329718,0.972615385,1.875,0.6471375,4.064583333,74.38814924
Brachyloma,Ericaceae,Ericales,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.55,0.974226804,1.81,0.87925,0.753636364,28.06023211
Brachypodium,Poaceae,Poales,2.222222222,0.1,0.7,0.0,0.074314214,0.967741935,1.0,0.5,0.0,1.73,0.360925926,0.572222222,36.17847615
Brachyscome,Asteraceae,Asterales,0.0,0.0,0.735294118,0.0,0.00210989,0.017857143,0.826621924,0.68329718,0.972615385,2.09,0.6471375,4.064583333,74.38814924
Bracteantha,Asteraceae,Asterales,0.0,0.0,0.6,0.0,0.00210989,0.017857143,0.826621924,0.68329718,0.972615385,2.09,0.6471375,4.064583333,74.38814924
Brassica,Brassicaceae,Brassicales,0.12987013,0.035714286,0.259259259,0.06779661,0.00485306,0.0,1.0,1.0,1.0,2.63,0.37,0.925151515,36.57966381
Braya,Brassicaceae,Brassicales,0.0,0.0,1.0,0.0,0.00485306,0.0,0.996621622,0.882352941,0.994444444,2.63,0.456936364,1.05,83.97051654
Brickellia,Asteraceae,Asterales,0.362318841,0.041666667,1.0,0.8125,0.00210989,0.017857143,0.826621924,0.68329718,1.0,2.09,0.6471375,4.064583333,74.38814924
Brighamia,Campanulaceae,Asterales,0.0,0.0,1.0,1.0,0.0,0.705882353,1.0,0.857142857,1.0,4.0,0.718333333,1.05,75.50487159
Brimeura,Asparagaceae,Asparagales,0.0,0.0,1.0,0.0,0.0,0.02173913,1.0,0.517857143,1.0,4.0,0.735,8.4,82.85160697
Briza,Poaceae,Poales,0.0,0.0,0.1875,0.0,0.074314214,0.967741935,1.0,0.75,0.0,1.73,0.360925926,6.954814815,23.92674775
Brodiaea,Asparagaceae,Asparagales,1.098901099,0.071428571,1.0,0.0,0.0,0.02173913,1.0,0.517857143,1.0,2.09,0.735,11.2481106,82.85160697
Bromopsis,Poaceae,Poales,0.0,0.0,1.0,0.0,0.074314214,0.967741935,0.958333333,0.724806202,0.093533487,1.73,0.360925926,5.530870827,74.38153976
Bromus,Poaceae,Poales,0.031735957,0.02173913,0.317391304,0.0,0.074314214,0.967741935,1.0,0.880952381,0.0,1.73,0.0185,8.390131579,32.17300086
Bryonia,Cucurbitaceae,Cucurbitales,0.0,0.0,1.0,0.0,0.024852071,0.035714286,0.75,1.0,1.0,1.6,0.498,2.158,24.71426572
Buddleja,Scrophulariaceae,Lamiales,1.098901099,0.071428571,1.0,1.0,0.001764706,0.0,1.0,1.0,1.0,2.6,0.93,1.246666667,27.43581311
Bufonia,Caryophyllaceae,Caryophyllales,0.0,0.0,0.714285714,0.0,0.001818182,0.0,1.0,0.87295082,1.0,2.63,0.592428667,1.703217391,61.43192451
Buglossoides,Boraginaceae,Boraginales,0.0,0.0,0.428571429,0.0,0.001824818,0.166666667,1.0,0.5,1.0,1.94,0.600255556,1.286052632,65.04411735
Bulbine,Xanthorrhoeaceae,Asparagales,0.0,0.0,0.666666667,0.0,0.0,0.0,1.0,0.5,1.0,0.0,0.946,16.40846154,33.7347424
Bulbocodium,Colchicaceae,Liliales,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.5,1.0,0.0,0.7468,7.747777778,83.48288256
Bulbostylis,Cyperaceae,Poales,0.0,0.0,1.0,0.0,0.00045977,0.45,1.0,0.512578616,0.0,2.53,0.13225,1.062465753,144.9035847
Bunias,Brassicaceae,Brassicales,0.0,0.0,0.166666667,0.0,0.00485306,0.0,1.0,0.75,1.0,2.63,0.456936364,2.39,11.08929142
Bunium,Apiaceae,Apiales,0.0,0.0,1.0,0.0,0.003968254,0.0,1.0,1.0,1.0,2.6,0.937666667,2.627731959,48.45406178
Buphthalmum,Asteraceae,Asterales,0.0,0.0,1.0,0.0,0.00210989,0.017857143,1.0,0.5,1.0,2.09,0.6471375,2.45,0.0
Bupleurum,Apiaceae,Apiales,0.0,0.0,0.414893617,0.14893617,0.003968254,0.0,1.0,0.857142857,1.0,4.0,0.937666667,2.491666667,34.02759147
Bursaria,Pittosporaceae,Apiales,0.0,0.0,1.0,1.0,0.005,0.0,1.0,1.0,1.0,2.22,0.6471375,0.535,19.82542377
Buxus,Buxaceae,Buxales,0.0,0.0,1.0,1.0,0.0,0.017857143,1.0,1.0,1.0,2.0,0.6471375,1.115,38.68476561
Cacalia,Asteraceae,Asterales,0.0,0.0,1.0,0.0,0.00210989,0.017857143,0.826621924,0.68329718,1.0,2.09,0.6471375,4.064583333,74.38814924
Cachrys,Apiaceae,Apiales,0.0,0.0,1.0,0.0,0.003968254,0.0,1.0,0.867346939,0.996575342,2.6,0.937666667,2.627731959,48.45406178
Caesalpinia,Fabaceae,Fabales,0.0,0.0,1.0,0.8,0.096494845,1.0,1.0,0.916129032,1.0,1.833333333,0.626545455,1.55,39.63937331
Caesia,Xanthorrhoeaceae,Asparagales,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.5,1.0,2.09,0.946,16.72672131,31.60831924
Cakile,Brassicaceae,Brassicales,0.0,0.0,0.0,0.0,0.00485306,0.0,1.0,1.0,1.0,2.63,0.456936364,0.68,83.97051654
Caladenia,Orchidaceae,Asparagales,0.54446461,0.155172414,1.0,0.0,0.0,0.985294118,0.963235294,0.764705882,1.0,2.79,0.4,7.564832714,120.3251337
Calamagrostis,Poaceae,Poales,1.341463415,0.268292683,1.0,0.0,0.074314214,0.967741935,0.9375,0.5,0.0,2.0,0.929,5.74375,26.76071151
Calamintha,Lamiaceae,Lamiales,0.0,0.0,1.0,0.0,0.004320557,0.918604651,1.0,0.666666667,0.998407643,2.01,0.6708,1.197755102,82.29557184
Calamovilfa,Poaceae,Poales,0.0,0.0,1.0,0.0,0.074314214,0.967741935,0.958333333,0.724806202,0.093533487,1.73,0.360925926,5.530870827,74.38153976
Calandrinia,Montiaceae,Caryophyllales,0.0,0.0,0.05,0.0,0.0,0.017857143,1.0,0.833333333,1.0,1.0,0.6471375,1.07,51.70224518
Caleana,Orchidaceae,Asparagales,0.0,0.0,1.0,0.0,0.0,0.985294118,0.963235294,0.764705882,1.0,2.79,0.4,7.564832714,120.3251337
Calendula,Asteraceae,Asterales,1.818181818,0.090909091,0.181818182,0.0,0.00210989,0.017857143,1.0,1.0,1.0,4.0,0.6471375,4.064583333,74.38814924
Calicotome,Fabaceae,Fabales,0.0,0.0,1.0,1.0,0.096494845,0.735191638,1.0,0.916129032,1.0,2.1,0.626545455,2.9788,100.1112562
Callianthemum,Ranunculaceae,Ranunculales,0.0,0.0,1.0,0.0,0.0,0.1,0.823529412,0.637323944,0.98013245,3.25,0.62825,10.8040273,60.63309118
Callirhoe,Malvaceae,Malvales,0.0,0.0,0.8,0.0,0.006153846,0.0,1.0,1.0,0.98951049,2.49,0.645777778,1.605723684,52.95229277
Callistemon,Myrtaceae,Myrtales,0.0,0.0,1.0,1.0,0.003243243,0.0,1.0,0.75,1.0,2.25,0.733152778,1.15,31.9616973
Callitriche,Plantaginaceae,Lamiales,0.0,0.0,0.196428571,0.0,0.005925926,0.818181818,1.0,0.444444444,0.0,0.0,0.593923077,2.298461538,56.74045044
Callitris,Cupressaceae,Pinophyta,0.0,0.0,1.0,1.0,0.007142857,0.017857143,1.0,1.0,0.0,0.933333333,0.630142857,9.7,10.0900224
Calocephalus,Asteraceae,Asterales,0.0,0.0,0.666666667,0.0,0.00210989,0.017857143,0.826621924,0.68329718,0.972615385,2.09,0.6471375,4.064583333,74.38814924
Calochilus,Orchidaceae,Asparagales,0.0,0.0,1.0,0.0,0.0,0.985294118,0.963235294,0.764705882,1.0,2.79,0.4,7.564832714,120.3251337
Calochortus,Liliaceae,Liliales,0.134680135,0.036363636,1.0,0.0,0.0,0.017857143,1.0,0.392857143,1.0,2.09,0.82,5.35,47.99441532
Calotis,Asteraceae,Asterales,0.0,0.0,0.833333333,0.0,0.00210989,0.017857143,0.826621924,0.68329718,1.0,2.09,0.6471375,4.064583333,74.38814924
Calycadenia,Asteraceae,Asterales,0.0,0.0,0.0,0.0,0.00210989,0.017857143,0.826621924,0.68329718,0.972615385,2.09,0.6471375,1.48,74.38814924
Calycoseris,Asteraceae,Asterales,0.0,0.0,0.0,0.0,0.00210989,0.017857143,0.826621924,0.68329718,0.972615385,2.09,0.6471375,4.064583333,74.38814924
Calylophus,Onagraceae,Myrtales,0.0,0.0,1.0,0.0,0.001538462,0.0,1.0,0.819672131,0.988636364,1.54,0.6028,1.291666667,52.59165606
Calyptridium,Montiaceae,Caryophyllales,1.282051282,0.076923077,0.307692308,0.0,0.0,0.017857143,1.0,0.833333333,1.0,1.0,0.6471375,2.996666667,51.70224518
Calystegia,Convolvulaceae,Solanales,1.176470588,0.2,1.0,0.057142857,0.044375,0.027777778,1.0,0.5,1.0,1.91,0.38425,0.8,187.4734648
